Id,ticker,Date,Time,Open,High,Low,Close
95,EURJPY,2026-03-04,05:00:00,162.100,162.350,162.000,162.250
96,EURJPY,2026-03-04,06:00:00,162.250,162.500,162.150,162.400
97,EURJPY,2026-03-04,07:00:00,162.400,162.650,162.300,162.550
98,EURJPY,2026-03-04,08:00:00,162.550,162.800,162.450,162.700
99,EURJPY,2026-03-04,09:00:00,162.700,162.950,162.600,162.850
100,EURJPY,2026-03-04,10:00:00,162.850,163.100,162.750,163.000
101,EURJPY,2026-03-04,11:00:00,163.000,163.250,162.900,163.150
102,EURJPY,2026-03-04,12:00:00,163.150,163.400,163.050,163.300
103,EURJPY,2026-03-04,13:00:00,163.300,163.550,163.200,163.450
104,EURJPY,2026-03-04,14:00:00,163.450,163.700,163.350,163.600
105,EURJPY,2026-03-04,15:00:00,163.600,163.850,163.500,163.750
106,EURCAD,2026-03-04,01:00:00,1.46200,1.46425,1.46125,1.46300
107,EURCAD,2026-03-04,02:00:00,1.46300,1.46525,1.46225,1.46400
108,EURCAD,2026-03-04,03:00:00,1.46400,1.46625,1.46325,1.46500
109,EURCAD,2026-03-04,04:00:00,1.46500,1.46725,1.46425,1.46600
110,EURCAD,2026-03-04,05:00:00,1.46600,1.46825,1.46525,1.46700
111,EURCAD,2026-03-04,06:00:00,1.46700,1.46925,1.46625,1.46800
112,EURCAD,2026-03-04,07:00:00,1.46800,1.47025,1.46725,1.46900
113,EURCAD,2026-03-04,08:00:00,1.46900,1.47125,1.46825,1.47000
114,EURCAD,2026-03-04,09:00:00,1.47000,1.47225,1.46925,1.47100
115,EURCAD,2026-03-04,10:00:00,1.47100,1.47325,1.47025,1.47200
116,EURCAD,2026-03-04,11:00:00,1.47200,1.47425,1.47125,1.47300
117,EURCAD,2026-03-04,12:00:00,1.47300,1.47525,1.47225,1.47400
118,EURCAD,2026-03-04,13:00:00,1.47400,1.47625,1.47325,1.47500
119,EURCAD,2026-03-04,14:00:00,1.47500,1.47725,1.47425,1.47600
120,EURCAD,2026-03-04,15:00:00,1.47600,1.47825,1.47525,1.47700
